identifier,gene_name,centroid1,centroid2,centroid3
206108_s_at,SRSF6,-0.0017041703,0.5558523048,0
35201_at,HNRNPL,0,0.4862207447,0
223642_at,ZIC2,-0.0756773321,0.3954583172,0
202436_s_at,CYP1B1,-0.1411951189,0,0.388205989
201123_s_at,EIF5A,0,0.3875219882,0
228834_at,TOB1,0.0335254692,-0.380478097,0
219471_at,KIAA0226L,0.3424382492,-0.3781936992,0
236235_at,ITCH,0.0658818587,-0.3676650517,0
242414_at,QPRT,0.2722325865,-0.3529776796,0
228030_at,RBM6,0,-0.3151478467,0
210758_at,PSIP1,0,0.2921918922,0
206638_at,HTR2B,0,0,0.2828214443
227736_at,C10orf99,0.2700128391,-0.0242350188,0
226907_at,PPP1R14C,0.2643287912,-0.1108205774,0
204457_s_at,GAS1,-0.2403125143,0,0.2565005378
202397_at,NUTF2,0,0.2528925722,0
209875_s_at,SPP1,-0.2417728294,0,0
222696_at,AXIN2,0.2382722048,-0.1559700708,0
202925_s_at,PLAGL2,0.2381252824,0,0
213169_at,SEMA5A,0.0885874621,-0.2365743602,0
206858_s_at,HOXC6,-0.2287929863,0,0
206101_at,ECM2,0,0,0.226925041
218807_at,VAV3,0.1623916911,-0.2070573993,0
222379_at,KCNE4,-0.0315006679,0,0.1983430187
204337_at,RGS4,-0.0173296407,0,0.1928052415
235589_s_at,MDM4,0,-0.1820290691,0
205226_at,PDGFRL,-0.0681892923,0,0.1815588223
218704_at,RNF43,0.1810460039,0,0
213800_at,CFH,0,0,0.1807685672
226805_at,FITM2,0.1743798197,0,0
229215_at,ASCL2,0.1721245574,0,0
223694_at,TRIM7,-0.0505222305,0.1715506752,0
219890_at,CLEC5A,-0.1693789585,0,0
213413_at,STON1,0,0,0.1665266056
214070_s_at,ATP10B,0.1635833324,-0.1308928313,0
220553_s_at,PRPF39,0,0.1624810267,0
204749_at,NAP1L3,0,0,0.1588611276
209781_s_at,KHDRBS3,0,-0.1567583804,0
225242_s_at,CCDC80,0,0,0.1565689974
202203_s_at,AMFR,0,0.1563115078,0
235182_at,ISM1,0,0,0.1522226088
213369_at,CDHR1,0.1483403344,0,0
205311_at,DDC,0.147043618,0,0
204939_s_at,PLN,0,0,0.1469279429
209425_at,AMACR,0.1434298648,-0.0189069086,0
1560587_s_at,PRDX5,0.1369296736,0,0
228640_at,PCDH7,0,0,0.1333874956
225782_at,MSRB3,0,0,0.1296913964
208050_s_at,CASP2,0,0.1277930065,0
209687_at,CXCL12,0,0,0.1273306683
219410_at,TMEM45A,-0.1247509319,0,0
220082_at,PPP1R14D,0.1237299911,0,0
219434_at,TREM1,-0.1230420995,0,0
219778_at,ZFPM2,0,0,0.1211186543
226961_at,PRR15,0.1176432101,0,0
206025_s_at,TNFAIP6,-0.1172277319,0,0
227399_at,VGLL3,-0.1081977139,0,0.1159288721
226764_at,ZNF827,0,-0.1157860634,0
207480_s_at,MEIS2,-0.1148222043,0,0
222449_at,PMEPA1,0,-0.1114510416,0
208131_s_at,PTGIS,0,0,0.1107583136
210933_s_at,FSCN1,-0.1107165421,0,0
221019_s_at,COLEC12,-0.0846192483,0,0.1101850342
205700_at,HSD17B6,0,0,0.1076742525
204015_s_at,DUSP4,-0.1075756298,0,0
209108_at,TSPAN6,0.102954101,0,0
227629_at,PRLR,0.0991361682,0,0
218718_at,PDGFC,0,0,0.0922781912
229358_at,IHH,0.0893066116,0,0
211597_s_at,HOPX,0,0,0.0885697009
238542_at,ULBP2,-0.0878023396,0,0
226695_at,PRRX1,-0.0836177214,0,0.0755226225
232040_at,LOC157860,0.0834464313,0,0
244084_at,AIFM3,0.0822359489,0,0
201289_at,CYR61,0,0,0.082106485
203349_s_at,ETV5,-0.0790122809,0,0
209955_s_at,FAP,-0.0705677507,0,0.0763041506
214844_s_at,DOK5,0,0,0.0755697059
231940_at,ZNF529,0,-0.0752842539,0
207202_s_at,NR1I2,0.0735569886,-0.0089664465,0
204087_s_at,SLC5A6,0.0710372016,0,0
221530_s_at,BHLHE41,0,0,0.0679425409
203305_at,F13A1,0,0,0.0675993972
209210_s_at,FERMT2,0,0,0.0662445317
222837_s_at,NAA15,0,0.06496214,0
213094_at,GPR126,0,0.0647362452,0
219179_at,DACT1,0,0,0.0629577064
242680_at,AVPR1A,-0.060753898,0,0
204646_at,DPYD,-0.0600272612,0,0
244023_at,SYK,0,-0.0589966183,0
227862_at,TRNP1,-0.0588590568,0,0
219257_s_at,SPHK1,-0.0578127155,0,0
202207_at,ARL4C,-0.0168998641,0,0.0563653267
204963_at,SSPN,0,0,0.0552444916
201313_at,ENO2,-0.0527963325,0,0
227140_at,INHBA,-0.0038332453,0,0.0516019148
1554195_a_at,C5orf46,-0.0502557623,0,0
204620_s_at,VCAN,0,0,0.048924346
202237_at,NNMT,0,0,0.0464901631
1569003_at,VMP1,0,-0.0458774234,0
210231_x_at,SET,0,0.0433794543,0
203560_at,GGH,0.0424843924,0,0
226459_at,PIK3AP1,-0.0389235931,0,0
214257_s_at,SEC22B,0,-0.0385055161,0
219403_s_at,HPSE,0,0.0378896889,0
225464_at,FRMD6,0,0,0.0371197741
218854_at,DSE,-0.0347188144,0,0
226319_s_at,ALYREF,0,0.0346429665,0
203561_at,FCGR2A,-0.034385286,0,0
221276_s_at,SYNC,0,0,0.0343485664
210423_s_at,SLC11A1,-0.03422061,0,0
209242_at,PEG3,0,0,0.0340458639
211758_x_at,TXNDC9,0,-0.0321279018,0
227847_at,EPM2AIP1,0,-0.0317570134,0
225187_at,KIAA1967,0,0.0313297392,0
238010_at,C1orf174,0,0.031315707,0
205880_at,PRKD1,0,0,0.0296413763
220161_s_at,EPB41L4B,0.0295917988,0,0
227393_at,ANO9,0.0288484785,0,0
218574_s_at,LMCD1,0,0,0.0280555968
209621_s_at,PDLIM3,0,0,0.0279428915
225915_at,CAB39L,0,-0.0275893291,0
202497_x_at,SLC2A3,-0.0269131924,0,0
227276_at,PLXDC2,-0.0250054322,0,0
210809_s_at,POSTN,-0.0217865737,0,0
226085_at,CBX5,0,-0.0208012584,0
226599_at,FHDC1,0.0207585417,0,0
202589_at,TYMS,0,0.0207457564,0
229669_at,LOC339260,0,0,0.0203753563
