"GSM820048" "GSM820049" "GSM820050" "GSM820051" "GSM820052" "GSM820053" "GSM820054" "GSM820055" "GSM820056" "GSM820057" "GSM820058" "GSM820059" "GSM820060" "GSM820061" "GSM820062" "GSM820063" "GSM820064" "GSM820065" "GSM820066" "GSM820067" "GSM820068" "GSM820069" "GSM820070" "GSM820071" "GSM820072" "GSM820073" "GSM820074" "GSM820075" "GSM820076" "GSM820077" "GSM820078" "GSM820079" "GSM820080" "GSM820081" "GSM820082" "GSM820083" "GSM820084" "GSM820085" "GSM820086" "GSM820087" "GSM820088" "GSM820089" "GSM820090" "GSM820091" "GSM820092" "GSM820093" "GSM820094" "GSM820095" "GSM820096" "GSM820097" "GSM820098" "GSM820099" "GSM820100" "GSM820101" "GSM820102" "GSM820103" "GSM820104" "GSM820105" "GSM820106" "GSM820107" "GSM820108" "GSM820109" "GSM820110" "GSM820111" "GSM820112" "GSM820113" "GSM820114" "GSM820115" "GSM820116" "GSM820117" "GSM820118" "GSM820119" "GSM820120" "GSM820121" "GSM820122" "GSM820123" "GSM820124" "GSM820125" "GSM820126" "GSM820127" "GSM820128" "GSM820129" "GSM820130" "GSM820131" "GSM820132" "GSM820133" "GSM820134" "GSM820135" "GSM820136" "GSM820137"
"206108_s_at" 9.3 32.8 605.3 711.5 32.1 270.2 109.3 587.3 782.7 22.5 25.5 538.7 497.9 224 155.8 1045.5 231.3 296.3 233.7 675.5 1008.3 196 179.2 711.7 46.2 60.6 32.4 456.7 284.5 58.2 42.2 30 276.7 47.4 33.4 74.1 63.7 29.7 98.4 31.8 52.6 18.5 210.3 18.3 62.7 17.8 39.3 14.1 277.6 49.1 433.1 156.3 40.7 28.1 145.8 33.6 3.4 220.8 79 36.3 80.5 14.1 32.8 106.7 122.7 50.5 70.5 10.7 55.1 44.8 440.7 17.6 113.5 428.8 596.8 73.6 58.6 366.2 555.4 154.3 788.1 70.9 90.6 480.7 64 63.7 875.3 598.3 134.4 232.6
"35201_at" 242.6 220.1 780.9 816.2 174.2 288.8 191.6 776.5 774.9 150.3 118.5 600.2 825.9 252 218.2 1567.2 229 226.7 232.3 682.2 587 197.7 271.5 1136.3 132.9 126.7 98 696.7 398.5 80.9 169.6 100.1 477.3 119.5 192.8 97.9 178.4 149.2 230.6 108.3 86.5 180.8 443.9 120.5 98.9 108 107.2 122.8 740.4 118.4 451.8 250.3 99.8 86.7 236.1 111.8 175 723.9 93.2 100.8 93.4 129.1 107.1 165.8 239.5 155.7 271.2 107 108.4 127.6 710.5 118.9 179.4 906.2 1138.1 359.3 217.4 327 563.4 328.2 1160.6 278.4 297.1 841.4 393.3 244.6 1383.4 606.7 353.8 522.5
"223642_at" 9.9 14.3 27.3 209.4 2.4 191.3 7.4 215.9 468.1 1.2 3.1 1 317.1 13.7 3.1 284.7 5 0.7 51.6 266.3 233.6 4.2 39 409.8 47.1 0.7 1.7 370.9 107.7 0.3 72 1.6 470.7 4.6 58.1 198.3 2.7 0.6 48 0.4 1 347 39.3 325.1 4.7 1.5 0.4 0.3 437.9 131.1 271 207.3 9.5 65.1 0.7 36.3 265.9 76.7 0.5 11.2 195.5 2.3 15.3 0.6 146.9 1.1 0.7 2.8 123.2 1.7 112.9 78.5 218.9 350.7 463.8 6.8 10.4 2.6 211.8 1.7 349.9 2.2 126.2 278.2 4.1 0.5 414.1 10.4 1.6 1.8
"202436_s_at" 29.3 36.9 49.6 41.7 10.7 21 49.7 75.2 21.3 159.5 15 771.9 220.7 410.8 11.1 14.2 22.6 25.8 27.1 33.5 31.4 32.8 9.7 326.7 696.6 35.4 93.6 94.3 277.2 442.5 98.5 11.2 31.8 50.8 24.8 986.6 54.1 106.9 26 53.4 212.7 23.3 824.9 166.9 34.6 126.7 26.9 12.2 80.9 37.6 171.8 1166.9 372.1 34.6 289.6 23.5 938.4 37.4 28.3 53.8 34.4 649.5 60.2 18.2 361.7 112.9 24.9 18.6 56.6 63.9 22.1 138.6 17.7 401.4 118 18.1 124.1 35.4 58 388.4 58 11.2 43.9 132.9 13.3 692.2 21.1 44.8 36.7 4.2
"201123_s_at" 302.4 171.9 2653.9 2582.2 320.3 1497.5 1393.3 3198 3097.9 969.2 925.7 1963.5 2282.3 190.7 114.7 4168 579.7 199.6 1022 2576.1 3614 890.6 172.7 3033.8 2193.7 392.7 397.3 1636.2 840.6 262.9 448.3 554.6 869.6 73.2 106.7 383.9 35.5 34.8 76.1 395.2 568.5 29.1 394 33.8 38.8 30.6 97.9 459.6 1818.1 372.7 1040.5 339.8 23.7 82.1 345.5 355.2 349.9 168.3 408.8 26.9 31.7 173.4 551.1 26.2 567.8 323.4 921 283.2 254 60.3 1289.7 414.8 654.9 2715 3618.4 955.7 1154.8 177.8 3667.3 797 1283.3 164.1 244.4 2637.5 426 400.1 3140.3 2780.3 150.7 320.1
"228834_at" 603.2 605.8 111.5 211.7 1521.2 761.2 325.2 337.5 47.2 948.8 550.8 81.5 69.6 784.6 522.3 20.7 503.4 455.7 768.2 118.5 296.4 2628.3 842.3 30.9 363.5 890 304.4 402.4 106.9 389.9 716.9 528.3 135.3 627.3 182.4 1246.2 567.9 696.6 1793.2 652.7 352.8 718.9 94.7 764.5 1329.2 787.1 754 757.2 49.2 1114.8 126.8 320.5 769.5 572.5 577.4 1730.7 1177.6 289.2 505.5 407.5 629.8 639.9 1176.9 742.3 479.7 441.2 762.9 954.4 411.8 910.3 101.1 376.5 195.5 41.6 66.6 894.3 214 504.1 49.1 271.1 105.9 516.6 592.7 203.6 326.6 124.8 77.3 77.8 357.8 297.1
"219471_at" 837.1 1268.8 61.5 97.2 898.4 581.5 1298.9 113.8 51 731.7 1017.3 118.2 52.4 314.9 1733.4 26 496.8 1091.3 479 100.7 92.6 228.6 406.2 685 137 868.6 934 83.1 74 749 690.2 401.9 80.4 1122.7 64.4 361.8 800.9 1251.5 1079.5 181.4 84.8 1622.7 160.4 151.4 176 1678.3 1649.2 1033.1 129 133.9 73.1 124.6 1116.5 650.1 102.4 759.1 76.7 118.9 157.2 403.6 1031.8 976 81.2 1141.4 127.3 1561.3 349.8 1385.6 113.3 650.6 54.9 76 773 53.4 27.8 607.4 250.1 323.2 18.2 566.7 44 868.6 492.2 90.8 1374.3 899.3 257.7 78.4 559.3 1601.2
"236235_at" 114.3 93.3 20.6 19.6 124.3 54.7 98.8 21 10.2 159.2 89.8 44.6 19 68.5 68.2 8.8 101.9 69.8 67.9 26.5 23.5 104.8 91.3 16.2 62.9 93.7 124.3 45.4 39.8 64.3 183.3 69.4 46.1 74.3 46 65 113.6 107.9 91.3 69.3 66 84.7 12.1 70.6 89.6 117.4 161.7 66.9 24.9 98.4 46.4 35.7 79.4 83.3 91.8 103.6 59.4 31.4 49.9 41.3 101.7 62.6 99.8 179.2 71.6 158.8 60.7 134 104.3 98.9 33.3 58.6 60.2 23.2 16.3 57.3 45.9 46.9 28.1 48.1 24.1 52.6 73.2 28.6 70.1 86.4 11.6 18.6 33.4 71.1
"242414_at" 398.6 547.7 46.1 40.7 498.2 210.1 384 64 25.4 245.8 471.3 67.2 36.9 131.1 590 81.4 459.4 385.8 213.2 71.1 59 240.9 1398.8 280.7 97.3 502.7 710.6 56.7 78.3 531.4 1091.3 283.1 105.7 711 273.4 223.9 639.2 581 754 458 633.5 493.7 116.8 117.6 111.1 524.6 646 341.4 94.9 707.8 65.2 96.2 632.9 207.4 266.4 345.1 87.9 29.1 270.5 162.5 610.1 196.4 211.4 612.3 106.1 834.1 284.3 600.6 100.2 430 66.3 101 637.9 51.7 174.9 274.6 542.2 246.1 51.5 124.3 20.4 639 714.4 124.7 798.9 513.6 83.2 79.3 233.8 498.5
"228030_at" 203.1 131 83.7 41.6 237.2 205.2 298.7 116.9 31 439.5 192.8 139.2 47.4 341.4 337.7 18.6 211.8 252.5 316.2 83.2 41.4 277.9 258.7 79.6 118.4 309 180.5 104 168.1 548.6 425.5 331.5 145.7 161.9 118 212.8 229.1 337.7 236.6 239 210.9 224 44.8 240 173.2 238 352.9 191.2 40.6 197.7 80.1 92.6 484.3 389.6 175.6 325.4 255.3 151.7 331.9 262.3 293.8 406.8 174.4 209 128 282.1 102.3 162.6 82.6 233.6 67.6 182.3 39.5 75.8 27.7 227.2 84.9 228.6 49.5 156 14.6 274.8 92.5 49.7 165.3 313.5 21.5 65.1 237.4 227.7
